A,B,C,D
a1249,b2241,c4461,d916
a1790,b1988,c3149,d2887
a3957,b3644,c1913,d2030
a2328,b2160,c4426,d3655
a4111,b2446,c1939,d2842
a878,b176,c4353,d1957
a1755,b118,c636,d3998
a1208,b1903,c1259,d2128
a42,b2986,c1419,d3140
a936,b1490,c2024,d274
a2379,b2165,c3227,d2821
a1174,b3684,c3494,d199
a1130,b3774,c4285,d4327
a2165,b2186,c2764,d54
a1416,b294,c3489,d4382
a1378,b1070,c3006,d878
a124,b601,c1559,d478
a3702,b1073,c117,d3879
a2019,b2019,c7,d441
a1163,b2502,c3300,d2685
a4177,b115,c2712,d345
a1232,b1850,c3473,d1540
a738,b998,c1605,d791
a73,b1072,c2381,d1040
a2255,b722,c3276,d1125
a2097,b1613,c4260,d3042
a2735,b3438,c3764,d138
a1169,b3135,c2336,d1558
a1801,b2268,c2254,d1389
a1564,b3108,c4330,d107
a113,b1759,c4517,d2835
a3517,b2802,c1700,d2192
a3359,b1581,c3920,d1054
a3255,b3748,c3189,d4243
a2175,b3419,c2860,d2942
a2492,b1944,c4176,d549
a3731,b2424,c1869,d4226
a4659,b1008,c3074,d563
a1935,b2287,c3703,d4044
a3619,b3647,c2868,d4100
a1152,b2135,c3827,d3901
a4074,b1281,c1935,d3295
a3942,b92,c4649,d310
a1831,b121,c2637,d4437
a467,b438,c2755,d2953
a1242,b3533,c4746,d1929
a1042,b3043,c290,d2477
a4801,b1965,c4323,d716
a3071,b1,c2554,d4232
a460,b376,c4565,d3296
a1010,b3683,c3690,d314
a2203,b2354,c800,d2443
a3023,b2996,c3458,d854
a3990,b1195,c2585,d1897
a1216,b2902,c1021,d4393
a2057,b2274,c248,d917
a1541,b1273,c3365,d3909
a3618,b302,c1634,d2664
a4697,b895,c2673,d4340
a4497,b3190,c132,d1228
a1223,b2935,c1920,d2197
a2998,b920,c1944,d1730
a3676,b3758,c4727,d3687
a1577,b440,c3530,d311
a1990,b2769,c2009,d48
a2503,b2794,c3512,d3922
a4315,b238,c2932,d3283
a48,b1114,c3990,d3616
a3193,b1181,c2780,d140
a1922,b104,c3586,d2174
a4729,b2084,c931,d979
a2891,b1217,c407,d581
a3495,b2186,c3845,d2191
a2559,b571,c2282,d3284
a3614,b914,c4030,d2076
a3653,b142,c1842,d1375
a913,b2090,c1110,d1883
a4284,b3190,c2095,d1390
a4471,b3295,c4755,d574
a3978,b3537,c902,d313
a1334,b632,c623,d112
a2641,b1293,c4575,d2427
a489,b1321,c3399,d2147
a1916,b110,c2897,d3902
a3799,b2291,c794,d3792
a4568,b955,c4530,d3666
a3344,b1224,c4489,d3116
a41,b3196,c3730,d2051
a4697,b3467,c4296,d2471
a2885,b3012,c4293,d4129
a1921,b3182,c827,d3337
a3463,b2062,c4281,d1646
a3855,b3777,c2755,d165
a152,b1398,c991,d1708
a1679,b3050,c2285,d4110
a4443,b3018,c1585,d3839
a2983,b2989,c972,d3718
a3917,b3712,c1741,d3212
a764,b2972,c2802,d2868
a4596,b874,c1057,d1079
a3273,b1167,c1124,d1630
a3663,b3362,c540,d2778
a1659,b1099,c1413,d236
a659,b1922,c984,d300
a3069,b1778,c2408,d2812
a106,b530,c936,d723
a2190,b3074,c507,d2284
a1416,b2178,c1156,d3473
a4042,b2035,c3558,d2218
a4206,b2067,c2260,d2493
a1552,b3359,c2356,d1486
a1106,b1845,c1925,d759
a504,b1843,c1011,d4122
a4560,b1091,c2781,d2516
a1598,b2235,c3573,d4132
a2826,b1076,c4451,d793
a2405,b2600,c1235,d288
a4365,b3395,c3775,d3942
a3755,b2472,c4198,d2666
a3808,b1458,c4080,d1860
a2400,b2766,c1859,d1267
a24,b1171,c365,d1161
a1705,b3759,c1077,d3723
a3788,b2563,c4305,d1153
a360,b2848,c3830,d2990
a2996,b2952,c1386,d1630
a4392,b3228,c980,d3068
a1412,b2396,c1110,d2073
a4323,b2663,c3660,d2623
a4581,b1581,c987,d4102
a1451,b2798,c1246,d20
a4327,b2422,c2046,d2504
a2696,b2147,c3238,d461
a1919,b1317,c129,d2276
a1599,b2569,c1320,d4375
a4367,b1379,c2595,d2913
a3060,b3444,c3416,d608
a768,b231,c30,d593
a850,b2292,c2206,d4436
a2636,b3557,c2409,d1907
a2809,b3651,c1364,d2904
a3123,b647,c820,d3418
a3489,b1323,c1573,d4252
a4140,b1969,c765,d4397
a2505,b787,c2258,d2396
a4301,b1659,c3271,d3613
a4761,b1840,c1714,d2319
a4292,b2827,c3885,d1687
a1550,b165,c4318,d3889
a216,b800,c3096,d2031
a3249,b2280,c3349,d3903
a1312,b2768,c3512,d1086
a2084,b1664,c1183,d1287
a4495,b1836,c4077,d1565
a1364,b3504,c3322,d1868
a4270,b3023,c2196,d2527
a4434,b149,c521,d805
a939,b1577,c1127,d2947
a1939,b2126,c4445,d1521
a574,b1056,c1234,d4224
a3349,b2918,c485,d3276
a1695,b834,c1985,d1475
a4367,b3185,c3677,d1
a4657,b1859,c1837,d3513
a3923,b1680,c3776,d756
a2809,b727,c143,d374
a4904,b1777,c4191,d3279
a475,b2459,c3057,d4175
a4234,b176,c4452,d594
a3491,b2331,c2209,d4332
a1672,b3462,c753,d3575
a4660,b3072,c1944,d2162
a108,b2968,c1401,d3133
a3775,b2996,c687,d3574
a455,b211,c1359,d2872
a900,b851,c4364,d47
a2380,b673,c1339,d2346
a3640,b323,c2890,d1146
a2638,b3499,c1394,d398
a4647,b2298,c2920,d3815
a1380,b3204,c1555,d813
a3579,b1692,c137,d809
a1524,b2331,c322,d1522
a2050,b1417,c4653,d3480
a2651,b3504,c4716,d3192
a3032,b2245,c2396,d460
a2290,b532,c2576,d3602
a4606,b3696,c3656,d504
a3229,b3432,c706,d3780
a86,b218,c2967,d4017
a1414,b1644,c4651,d3271
a1480,b2841,c3699,d695
a4029,b923,c3361,d339
a4298,b23,c3995,d372
a2948,b2633,c2004,d3632
a825,b1310,c3816,d2027
a1537,b2909,c2013,d2788
a4383,b1185,c1378,d4317
a1405,b3518,c1353,d1612
a1373,b2135,c366,d2196
a397,b3207,c2638,d894
a2445,b2035,c3774,d4347
a3163,b1178,c797,d2484
a1558,b1435,c2400,d3049
a1991,b1382,c825,d2711
a3273,b2466,c1620,d3681
a2114,b2170,c3505,d2205
a2412,b3249,c3886,d3388
a2239,b2001,c195,d2546
a1993,b2705,c4653,d2766
a2695,b1740,c880,d3792
a205,b517,c3704,d3687
a1708,b507,c2906,d415
a3960,b3461,c3888,d4409
a4902,b1690,c1921,d1166
a1299,b3291,c1474,d1847
a3214,b258,c2754,d1204
a1124,b3605,c2314,d1239
a3611,b2859,c3242,d3872
a4843,b3072,c3266,d3909
a1359,b3584,c3883,d2516
a4491,b711,c3108,d136
a1245,b1974,c283,d1230
a1835,b3399,c1716,d3512
a4658,b2698,c1157,d3344
a1204,b2030,c2149,d1782
a781,b731,c4559,d3147
a3940,b2759,c1624,d4008
a2393,b3259,c4454,d3844
a2789,b3730,c3241,d1748
a624,b1943,c2189,d380
a3568,b107,c1282,d2878
a3412,b1020,c1140,d3252
a3019,b2297,c1400,d1798
a267,b3718,c4496,d2847
a922,b3366,c3784,d1020
a1939,b1719,c987,d710
a601,b990,c4589,d2697
a733,b2143,c3647,d4023
a4253,b770,c2826,d2531
a4855,b956,c737,d196
a3066,b611,c1193,d288
a4095,b2766,c2566,d499
a4899,b1563,c730,d2350
a473,b747,c4564,d1942
a4184,b1139,c424,d1860
a4132,b128,c478,d1026
a4435,b1725,c454,d1466
a3054,b2737,c3695,d2188
a1596,b3033,c1437,d3544
a388,b244,c844,d3298
a1657,b281,c4706,d2536
a2222,b3651,c1854,d1548
a842,b3492,c1682,d2241
a442,b235,c402,d3576
a2944,b179,c3155,d4351
a1997,b228,c324,d1836
a2109,b1779,c669,d1459
a1991,b2317,c634,d575
a4863,b870,c1222,d306
a2820,b352,c1121,d1412
a3350,b1614,c2000,d1649
a1400,b2125,c2759,d1444
a4195,b1466,c3637,d4434
a2779,b885,c2254,d2339
a4559,b377,c2750,d2517
a2316,b2615,c3772,d1691
a2383,b2982,c4349,d1398
a152,b1303,c2428,d142
a1481,b903,c2247,d4258
a2622,b957,c32,d1767
a4464,b708,c2726,d2747
a639,b1965,c1892,d1065
a2666,b2950,c354,d2508
a718,b2490,c1354,d2149
a4326,b365,c1952,d702
a2089,b1218,c3689,d44
a2828,b2338,c2739,d2574
a2480,b3716,c4190,d4218
a4112,b3244,c1397,d3330
a3228,b3779,c2684,d2520
a3081,b2754,c1495,d3780
a1442,b1289,c4236,d1346
a3056,b3524,c1873,d1808
a2245,b2987,c143,d2246
a3889,b151,c4042,d1763
a1490,b3094,c3397,d1841
a3226,b906,c3675,d4430
a2827,b223,c3935,d699
a4662,b64,c934,d335
a886,b707,c2532,d1589
a4245,b1480,c683,d2505
a2674,b2027,c4753,d3385
a1794,b3319,c2608,d1504
a2579,b1019,c1224,d3932
a597,b2273,c4295,d3244
a4031,b801,c3723,d1055
a967,b2413,c2172,d4314
a4360,b2444,c3591,d2520
a4076,b3437,c306,d3755
a1795,b378,c3406,d1473
a3655,b36,c4220,d3868
a4602,b3288,c3849,d996
a3992,b945,c1092,d1023
a234,b2066,c2207,d4211
a1321,b1750,c4401,d532
a2463,b99,c2247,d1605
a2957,b2934,c2102,d3129
a1494,b606,c4123,d3121
a3182,b2201,c163,d1602
a1181,b2044,c4511,d1215
a2755,b1541,c2292,d4024
a391,b2703,c2476,d3109
a2861,b2589,c2390,d1326
a4641,b3623,c709,d2008
a3681,b1661,c2641,d1018
a3828,b1268,c229,d1063
a2269,b3102,c4241,d4374
a176,b2764,c616,d1016
a1050,b385,c1893,d176
a2590,b589,c3800,d929
a126,b1675,c1215,d431
a203,b2862,c4461,d4350
a2889,b2011,c3193,d1789
a4344,b2220,c43,d1355
a2488,b1670,c2923,d1007
a201,b3772,c3555,d523
a1894,b2226,c2954,d1815
a3169,b2036,c459,d828
a2822,b716,c1820,d2486
a199,b2346,c2712,d1042
a2883,b316,c1085,d1969
a347,b3114,c2183,d903
a916,b421,c811,d1419
a609,b2298,c1771,d1341
a1041,b2251,c249,d4186
a4207,b1881,c1106,d287
a2018,b249,c607,d1438
a1859,b2379,c2557,d4014
a898,b323,c1755,d160
a1809,b924,c2211,d1167
a169,b697,c2182,d1612
a2048,b2847,c4105,d1661
a1841,b923,c333,d777
a3081,b1093,c4143,d1153
a63,b1433,c341,d1312
a1061,b542,c1957,d435
a2454,b240,c1730,d326
a353,b384,c3540,d34
a1569,b3220,c108,d2832
a141,b650,c4266,d1476
a666,b1071,c3149,d1000
a204,b1645,c2888,d1637
a1597,b3650,c1834,d2100
a74,b1560,c281,d1504
a3241,b1896,c3476,d3935
a3993,b3357,c497,d271
a3123,b1484,c2460,d3538
a1328,b2525,c784,d3951
a230,b1171,c4370,d2798
a1333,b1677,c4641,d1436
a2808,b2564,c179,d72
a1630,b1597,c3691,d129
a421,b1185,c199,d666
a1256,b1428,c3884,d773
a530,b1819,c4226,d1748
a207,b245,c176,d3590
a4089,b771,c4137,d2593
a327,b3638,c530,d819
a173,b2722,c3195,d4341
a3535,b319,c1875,d3771
a3110,b2930,c718,d3889
a948,b2975,c3838,d1933
a3537,b2025,c1474,d4324
a1020,b2778,c3553,d3303
a653,b833,c4031,d200
a1782,b531,c961,d31
a363,b2526,c3645,d2105
a3969,b2493,c2807,d792
a1164,b1943,c4331,d2550
a1632,b1350,c1206,d4139
a1940,b656,c572,d4332
a4352,b3020,c3951,d1199
a1445,b1347,c4510,d1819
a629,b1008,c3981,d429
a4370,b1632,c3925,d265
a2364,b2921,c2137,d1435
a4643,b235,c1834,d4216
a1959,b646,c3955,d1218
a2656,b842,c90,d3957
a1610,b2401,c658,d3378
a2738,b1603,c1952,d3925
a1974,b545,c725,d1838
a1468,b767,c89,d3677
a1488,b389,c370,d3818
a3637,b122,c1270,d3211
a1797,b1943,c1730,d3157
a1454,b2246,c3661,d1544
a416,b3042,c2044,d2981
a816,b1578,c197,d1539
a3751,b2789,c2009,d3332
a4719,b32,c402,d1812
a2589,b3718,c3002,d993
a1834,b640,c1376,d2856
a1661,b3584,c805,d1212
a2609,b3062,c778,d3653
a1157,b576,c761,d978
a365,b1646,c3502,d2545
a2711,b806,c3379,d3683
a3206,b3594,c3413,d3933
a3327,b2014,c4734,d2237
a4422,b818,c4442,d2504
a1364,b3304,c1038,d1019
a4783,b3451,c3943,d629
a218,b270,c4450,d3346
a3702,b235,c1858,d2213
a2236,b636,c3211,d312
a428,b3582,c2576,d2358
a1557,b641,c3613,d59
a491,b981,c1479,d2060
a2749,b887,c1838,d324
a3838,b120,c3968,d1623
a3024,b850,c3500,d2912
a1843,b3753,c2166,d1679
a73,b261,c3903,d3096
a4857,b2699,c1613,d2191
a1433,b751,c2986,d1776
a1091,b2238,c4253,d1702
a4724,b1916,c3142,d2247
a2821,b2974,c2146,d1304
a4278,b2291,c812,d2060
a154,b1032,c1961,d3595
a1078,b3774,c3242,d942
a4726,b2444,c4686,d3933
a4714,b1363,c4029,d2556
a3805,b205,c2949,d1579
a29,b2169,c534,d1363
a222,b1263,c4668,d3338
a3961,b310,c3604,d4322
a592,b600,c4590,d1061
a1190,b2467,c2100,d167
a80,b139,c3701,d1586
a4429,b2799,c4202,d1354
a478,b1856,c2884,d3413
a1259,b206,c1926,d995
a3139,b1431,c3486,d128
a2177,b676,c1250,d3061
a669,b1628,c2120,d2950
a2266,b3175,c2806,d200
a1277,b3356,c3238,d2856
a2767,b2975,c4141,d502
a2848,b272,c2872,d884
a390,b3038,c3832,d2423
a3030,b1145,c3711,d30
a3349,b2536,c1039,d2192
a4083,b2519,c2718,d3248
a3275,b436,c499,d2664
a2922,b2490,c751,d3131
a2660,b2482,c1860,d2984
a4688,b1043,c348,d32
a2642,b3178,c4296,d2926
a4390,b2017,c233,d3690
a4736,b1775,c798,d479
a3917,b1109,c2298,d1439
a1914,b1969,c4628,d1540
a1890,b957,c3730,d3346
a527,b840,c2526,d3465
a2410,b2787,c820,d1926
a3682,b2268,c1875,d1453
a60,b3486,c118,d1498
a3950,b550,c4600,d1223
a1972,b2177,c1951,d1672
a4887,b495,c3454,d3418
a427,b826,c2327,d3667
a4138,b2036,c122,d4191
a2653,b2178,c3464,d415
a627,b1655,c35,d2619
a291,b1795,c1070,d470
a1537,b1960,c2646,d3217
a4776,b2614,c4301,d2109
a841,b358,c1811,d3330
a1147,b2729,c375,d4091
a4820,b2013,c4713,d4005
a1598,b1744,c3906,d72
a2372,b3763,c4218,d1555
a1201,b3620,c3553,d86
a3375,b1479,c4629,d3068
a1044,b413,c206,d1009
a4557,b2410,c1614,d4231
a4647,b2216,c2229,d856
a1933,b1900,c1798,d1905
a2568,b2686,c1846,d3551
a1387,b3395,c1351,d2362
a727,b1295,c3312,d286
a702,b171,c3238,d1233
a1095,b3224,c4401,d3710
a2049,b3117,c3148,d438
a3531,b2246,c2027,d3534
a3780,b1588,c338,d1757
a412,b1486,c2231,d1920
a2485,b16,c2847,d3800
a2695,b82,c3057,d2510
a4399,b113,c4738,d4179
a2959,b773,c3155,d1866
a3529,b965,c15,d2588
a3668,b2476,c1429,d4076
a2730,b2116,c4431,d1280
a4375,b997,c2218,d1168
a2173,b1371,c3686,d3789
a3760,b3573,c2078,d4311
a1142,b3153,c3768,d1404
a675,b2634,c519,d340
a642,b2810,c4601,d2290
a3705,b1946,c3421,d2092
a3050,b1302,c2119,d769
a220,b60,c3203,d1690
a2605,b3720,c1433,d3202
a2728,b3386,c1861,d2036
a1807,b377,c1681,d1773
a61,b3462,c2864,d760
a2126,b651,c1803,d1278
a1135,b2241,c2125,d1311
a2260,b848,c2064,d2498
a4327,b1014,c4235,d980
a980,b1211,c1796,d2715
a3245,b1794,c2055,d1845
a4196,b567,c3696,d3680
a4624,b1549,c2166,d574
a703,b227,c1902,d3457
a1156,b105,c1133,d258
a388,b556,c2540,d3010
a1003,b2144,c950,d100
a658,b1820,c1281,d3571
a3738,b2830,c2162,d4054
a4343,b3246,c347,d1288
a1578,b3102,c410,d1214
a592,b1808,c636,d1510
a1550,b919,c3714,d752
a542,b1339,c2356,d2483
a3997,b3007,c11,d4368
a3749,b275,c3564,d482
a3888,b3008,c2908,d3238
a1385,b1847,c3790,d1709
a4735,b904,c2300,d3551
a895,b3415,c1643,d703
a4420,b3456,c2749,d769
a3298,b1588,c2346,d1366
a4379,b1738,c51,d4434
a3482,b3597,c56,d1571
a2706,b3000,c214,d2255
a899,b3642,c1157,d1899
a4260,b3149,c463,d274
a4462,b3651,c2968,d4377
a1983,b2194,c4345,d3070
a3001,b310,c2095,d2806
a4497,b408,c2849,d2994
a4060,b2623,c3724,d841
a1952,b1764,c2050,d344
a2376,b1742,c2261,d1187
a422,b2667,c2279,d374
a27,b2550,c2214,d1921
a2679,b775,c83,d3769
a4349,b1476,c1502,d3203
a1707,b3611,c1108,d2497
a3961,b2941,c930,d3998
a3570,b10,c2115,d1028
a4462,b734,c668,d1975
a2844,b483,c4200,d1338
a3786,b2825,c3084,d131
a779,b2573,c3324,d1904
a3967,b2887,c2984,d4025
a2586,b1616,c4632,d2792
a497,b2860,c2826,d1142
a1986,b1286,c919,d2666
a1859,b612,c883,d3036
a2034,b3720,c4523,d3825
a4788,b443,c4514,d1041
a18,b3442,c1506,d1587
a3281,b3280,c2275,d1367
a4004,b84,c3021,d2196
a1525,b2768,c4525,d3630
a4263,b1090,c4486,d1173
a1019,b3391,c3385,d4214
a4224,b2893,c3120,d2883
a2536,b2273,c3607,d3609
a1221,b2405,c51,d4205
a1540,b3340,c4700,d2706
a1639,b3681,c1846,d3384
a2923,b2261,c3048,d1842
a4742,b2510,c4100,d1406
a390,b131,c3514,d613
a617,b600,c2801,d530
a2172,b2265,c3519,d2529
a864,b1244,c2549,d4225
a1868,b1419,c327,d2322
a1106,b369,c3943,d2271
a4356,b1701,c2916,d2585
a1493,b3051,c3038,d1034
a3324,b1312,c3348,d2898
a3327,b2911,c4699,d2198
a208,b1509,c514,d1942
a61,b3468,c2270,d1800
a1001,b1346,c3559,d2629
a4294,b681,c3147,d1329
a51,b658,c2860,d1384
a4515,b1519,c4254,d436
a3178,b802,c1147,d2898
a4379,b3579,c632,d2230
a1160,b1047,c1921,d2590
a1432,b3246,c403,d3999
a1539,b365,c940,d2766
a1100,b1767,c3451,d3562
a2561,b2807,c3119,d3890
a96,b3097,c1043,d1047
a3665,b966,c625,d1402
a2409,b3460,c1273,d921
a977,b1899,c368,d2028
a1589,b2169,c1969,d1621
a1264,b115,c2689,d1558
a226,b855,c3693,d3888
a649,b592,c2117,d4387
a443,b1183,c4003,d325
a2310,b1490,c549,d4039
a2865,b2425,c4187,d2365
a368,b3482,c4312,d3780
a2211,b235,c2275,d262
a531,b2532,c4287,d2082
a4856,b3357,c1254,d559
a2435,b2929,c3577,d1218
a628,b1492,c1206,d1209
a4308,b2429,c3546,d2657
a2086,b215,c2342,d904
a3920,b531,c2558,d3970
a589,b2936,c676,d3993
a491,b2155,c3602,d3635
a2241,b2604,c3506,d3687
a3412,b3288,c4470,d3506
a3074,b2103,c717,d3362
a672,b3637,c4731,d182
a2810,b3464,c1535,d1322
a3525,b2439,c2674,d2480
a4859,b1932,c3899,d3990
a338,b683,c3816,d2744
a676,b2440,c1873,d2092
a4771,b2966,c4722,d795
a146,b3243,c195,d1420
a3970,b1158,c1730,d3283
a1303,b408,c3253,d3161
a2538,b1005,c2238,d3163
a1495,b1644,c1077,d2021
a4617,b192,c734,d3948
a1372,b2153,c954,d684
a1183,b292,c4458,d3480
a2292,b3512,c4642,d1803
a3094,b245,c2283,d1161
a3805,b902,c1758,d1122
a1932,b465,c1723,d3187
a969,b2494,c2148,d44
a3113,b2067,c4132,d3820
a3807,b1671,c908,d562
a2393,b1929,c432,d223
a4861,b1334,c123,d458
a1259,b2185,c2190,d3197
a4351,b3074,c1720,d1701
a1962,b3475,c778,d206
a2130,b2332,c4180,d3060
a2280,b1000,c3091,d746
a148,b282,c2937,d3169
a3790,b3465,c556,d2935
a2172,b3290,c3112,d1559
a548,b2899,c1670,d2939
a394,b1529,c1028,d2114
a3570,b557,c4362,d1048
a1985,b2309,c2261,d514
a1309,b481,c1322,d2733
a4804,b2258,c3835,d4169
a1304,b394,c3827,d258
a3779,b2196,c397,d739
a1,b2025,c1848,d3512
a4170,b1289,c2699,d855
a3524,b956,c3308,d97
a825,b1436,c613,d680
a2200,b514,c413,d2504
a2801,b3359,c4448,d3788
a3804,b1179,c3817,d4324
a3032,b2157,c1109,d55
a576,b3156,c668,d2537
a1228,b1155,c2794,d998
a1314,b3386,c422,d669
a2194,b2088,c4381,d3443
a2672,b2125,c959,d4002
a2238,b2903,c1876,d1475
a1996,b2010,c3081,d2772
a4101,b2849,c405,d3111
a2259,b3723,c353,d2357
a468,b1420,c3018,d1225
a3434,b2804,c1997,d2126
a810,b378,c4437,d3564
a4213,b3105,c1560,d925
a326,b1677,c3130,d418
a2507,b3311,c1850,d1988
a266,b3127,c4288,d1492
a1537,b3660,c773,d4169
a674,b76,c1920,d2795
a4183,b245,c1901,d184
a1540,b1683,c2087,d2600
a4277,b3351,c1090,d3519
a1164,b3620,c2014,d2406
a1286,b3114,c888,d1417
a4153,b3262,c4119,d3399
a1686,b3361,c1819,d2380
a4371,b1473,c4743,d266
a1133,b781,c2533,d4239
a2739,b3468,c430,d2097
a4372,b2899,c4703,d2139
a440,b2817,c3708,d381
a2712,b2319,c2054,d154
a2235,b2255,c3147,d3667
a3202,b3208,c2300,d1675
a2784,b2487,c482,d2321
a1805,b2662,c2177,d2152
a2344,b2130,c3991,d2549
a4297,b1566,c4208,d3344
a1385,b335,c1956,d55
a1283,b2619,c921,d150
a1824,b3028,c3823,d387
a2207,b1452,c2588,d3139
a2260,b1830,c4272,d2666
a1663,b2794,c3932,d745
a1873,b2084,c3104,d4436
a103,b2670,c3634,d1724
a4446,b1272,c3931,d2346
a1662,b30,c408,d322
a964,b42,c1741,d2256
a4771,b3181,c3015,d51
a3980,b1920,c343,d174
a3856,b2572,c4027,d1102
a222,b2333,c4319,d1942
a500,b3099,c2190,d4057
a819,b3103,c1912,d2869
a4320,b2748,c2794,d4227
a1755,b26,c2762,d1188
a2584,b3775,c156,d570
a3669,b1218,c3663,d3974
a2113,b1848,c2216,d58
a4313,b3078,c4428,d3807
a4872,b354,c2694,d748
a4585,b36,c3163,d393
a4750,b2815,c256,d1491
a1504,b483,c3831,d1665
a4064,b3175,c792,d292
a1623,b1237,c2681,d2669
a2479,b1357,c3720,d2628
a70,b1718,c3794,d3094
a1696,b1732,c1443,d3143
a2108,b3408,c1990,d3829
a2603,b3642,c38,d696
a3504,b2656,c2672,d4227
a821,b1113,c1555,d1118
a4084,b1341,c325,d1853
a995,b1522,c2373,d546
a2683,b2953,c3832,d4017
a4846,b1271,c201,d3854
a522,b2548,c3710,d1592
a1358,b2998,c1591,d3110
a2854,b2068,c3860,d932
a486,b881,c1174,d2602
a3507,b3269,c816,d3594
a3827,b3046,c3488,d610
a2453,b3440,c2752,d98
a2099,b796,c4280,d1096
a4161,b2311,c3329,d861
a1421,b3212,c4224,d1539
a4231,b1480,c4676,d762
a4504,b2034,c97,d2418
a4470,b3075,c2291,d298
a4180,b3098,c1092,d2577
a2134,b3525,c2250,d94
a4319,b1205,c3224,d3663
a1090,b1370,c1841,d1456
a4790,b1924,c3802,d2693
a89,b3335,c1882,d233
a1044,b3604,c4134,d294
a1753,b2546,c2535,d1127
a481,b3657,c3313,d1136
a1274,b2579,c2308,d1040
a63,b935,c3741,d600
a1129,b1714,c1742,d1229
a743,b1440,c4189,d3852
a4545,b814,c789,d3587
a2774,b2132,c98,d285
a980,b2196,c811,d1986
a1998,b1418,c950,d2815
a2276,b2113,c4724,d2204
a4894,b3465,c4009,d188
a3989,b559,c1552,d1859
a2918,b2433,c1407,d543
a2625,b1373,c1879,d2360
a1003,b442,c3817,d129
a1812,b2492,c1633,d3070
a3135,b1708,c2682,d926
a3121,b1306,c1694,d508
a4367,b1132,c3015,d878
a3693,b227,c302,d3649
a1410,b3673,c1992,d2459
a3802,b2687,c2541,d228
a778,b258,c4499,d798
a1243,b848,c2643,d483
a384,b397,c4368,d2408
a1646,b1418,c441,d3772
a330,b282,c546,d285
a267,b1576,c1314,d3448
a2283,b1956,c3543,d723
a744,b3069,c4218,d1368
a3200,b847,c4385,d3481
a2048,b3401,c2783,d3954
a2846,b3065,c1948,d571
a1816,b2385,c1835,d524
a3321,b1817,c823,d536
a2410,b3481,c2346,d522
a15,b2884,c1489,d2692
a507,b2897,c1262,d539
a1123,b2595,c1030,d2183
a258,b3331,c1181,d3903
a1022,b27,c3434,d1424
a4331,b2325,c2096,d2344
a3794,b3310,c3509,d4057
a4135,b1346,c2813,d1389
a290,b892,c2876,d2149
a3346,b1790,c2189,d4111
a1671,b628,c4365,d1007
a1041,b2509,c423,d1436
a3130,b550,c1812,d645
a360,b2979,c2131,d2032
a3875,b2031,c1695,d3993
a1342,b2363,c4170,d1282
a1702,b3701,c2886,d1722
a1158,b574,c3205,d3408
a3196,b2944,c3911,d3241
a1263,b908,c128,d461
a3952,b1975,c1752,d3336
a1423,b740,c2989,d4196
a4053,b1191,c1244,d221
a476,b3353,c1888,d3045
a4543,b3618,c1720,d978
a1384,b432,c3322,d3483
a3381,b3692,c3561,d1062
a3335,b2614,c3557,d3650
a4741,b2099,c4352,d4348
a3386,b1157,c4585,d2998
a1534,b875,c2680,d3017
a1006,b1613,c3200,d3476
a4857,b710,c1600,d3878
a4104,b2186,c2797,d2486
a933,b2648,c12,d1587
a2491,b3750,c809,d1820
a4352,b2624,c3475,d2525
a1422,b2010,c1848,d1325
a2517,b2942,c267,d514
a4217,b2976,c943,d615
a216,b259,c2824,d4363
a4680,b1392,c3761,d2836
a708,b1559,c2074,d2903
a3959,b556,c4304,d851
a702,b677,c3235,d2965
a1204,b2988,c3798,d3118
a3352,b3342,c3214,d4108
a4143,b2395,c1123,d275
a1218,b561,c539,d3012
a288,b908,c3717,d1378
a1352,b1674,c2410,d1204
a2889,b1980,c980,d2126
a215,b1643,c1974,d1840
a4166,b3725,c3741,d2005
a1637,b552,c4708,d3676
a334,b2496,c1766,d2877
a4460,b1836,c4709,d4300
a1612,b2348,c2306,d2630
a2656,b2112,c3178,d3912
a3367,b3600,c3987,d4202
a4877,b3240,c4113,d4309
a1391,b2557,c3392,d2275
a2103,b2827,c2666,d4420
a376,b1098,c3616,d159
a1885,b420,c4329,d1889
a2374,b2454,c437,d4330
a3050,b947,c1272,d3416
a3849,b2951,c1486,d2864
a3599,b2433,c4772,d4186
a3632,b2122,c4551,d3837
a4572,b1083,c2823,d884
a175,b514,c2518,d338
a3811,b1915,c4445,d2479
a1162,b2000,c250,d108
a1434,b2465,c1973,d209
a4839,b3389,c626,d618
a2311,b2943,c330,d2034
a1502,b168,c490,d1733
a3218,b2247,c4740,d2041
a2744,b488,c4527,d773
a4822,b1510,c491,d2767
a1060,b511,c1707,d1745
a3111,b250,c868,d2590
a2850,b302,c1692,d3719
a2717,b1195,c3237,d3101
a141,b3176,c2662,d3112
a1980,b2834,c398,d1688
a575,b3519,c3665,d364
a4486,b2780,c2088,d2126
a3068,b1217,c364,d1261
a1817,b1469,c2936,d484
a2569,b3538,c393,d2137
a2066,b2510,c2333,d3846
a3746,b2010,c3954,d1053
a493,b2473,c2242,d2750
a2017,b1802,c2926,d2213
a322,b254,c4742,d2922
a3972,b2617,c1802,d1061
a158,b2220,c2658,d2696
a105,b1459,c4114,d180
a1186,b1963,c1786,d192
a3442,b2124,c2793,d3016
a4492,b2968,c3686,d3426
a4624,b2501,c2182,d925
a3090,b2842,c2293,d1320
a3128,b1247,c4264,d2072
a1648,b202,c2941,d3698
